Time period,North America,Africa,Asia,Europe,Oceania,South America
"Jan-Mar, 2020",73,9,48,25,23,10
"Apr-Jun, 2020",154,29,63,25,25,16
"Jul-Sep, 2020",169,28,57,32,16,17
"Oct-Dec, 2020",213,54,62,35,34,21
"Jan-Mar, 2021",283,48,59,69,21,31
"Apr-Jun, 2021",220,39,57,40,9,26
"Jul-Sep, 2021",203,50,78,68,16,48
"Oct-Dec, 2021",210,54,89,83,9,57
"Jan-Mar, 2022",185,25,60,43,13,21
"Apr-Jun, 2022",240,30,66,64,38,10
"Jul-Sep, 2022",390,33,136,67,2,11
"Oct-Dec, 2022",626,26,166,75,5,2
"Jan-Mar, 2023",706,14,142,46,,12
"Apr-Jun, 2023",562,5,122,37,,17
"Jul-Sep, 2023",629,3,130,24,,
"Oct-Dec, 2023",534,1,78,52,,
"Jan-Mar, 2024",247,2,32,9,,
"Apr-MaY, 2024",46,,8,,,
